epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7464,0.77055,1.21816,1.2226,1.23678,0.51173,0.6,0.49243,0.33765,0.49434,0.55,0.44856,0.31059,1.43151,5.08561,2.8738,2.75415,0.000549493,0.000549493,0.000549493
2,74.9795,0.74133,0.78961,0.69755,1.16524,0.18137,0.1,0.07048,0.05742,0.15181,0.25,0.08385,0.05264,2.93318,11.7894,8.59686,3.48408,0.00109422,0.00109422,0.00109422
3,94.5506,0.75993,0.81017,0.67415,1.17865,0.33897,0.3,0.14985,0.06602,0.33897,0.3,0.18423,0.08982,2.1152,14.4123,4.98456,3.39043,0.00162794,0.00162794,0.00162794
4,114.025,0.71397,0.758,0.67084,1.14758,0.40629,0.5,0.38012,0.26369,0.40629,0.5,0.38012,0.28379,1.33123,0.80951,3.08189,1.90738,0.00161749,0.00161749,0.00161749
5,133.66,0.60818,0.62339,0.54633,1.08084,0.89363,0.84057,0.90835,0.73953,0.89363,0.84057,0.90835,0.7111,0.65802,1.21715,1.304,1.57277,0.00160099,0.00160099,0.00160099
6,153.226,0.59662,0.56914,0.53621,1.07076,0.72037,0.9,0.90722,0.73417,0.72037,0.9,0.90722,0.77128,0.66205,0.41709,1.05883,1.44839,0.00158448,0.00158448,0.00158448
7,172.903,0.55887,0.5567,0.49206,1.05417,0.90503,0.95305,0.97545,0.86497,0.90503,0.95305,0.97545,0.90356,0.52401,0.40247,0.97709,1.14796,0.00156798,0.00156798,0.00156798
8,192.491,0.53916,0.52438,0.47932,1.04563,0.89355,0.9,0.9489,0.84969,0.89355,0.9,0.9489,0.88392,0.50864,0.37164,0.69365,1.10048,0.00155148,0.00155148,0.00155148
9,212.464,0.50295,0.53087,0.46992,1.02857,0.89486,0.85119,0.95744,0.86091,0.89486,0.85119,0.95744,0.90963,0.44929,0.32065,0.70594,1.09135,0.00153497,0.00153497,0.00153497
10,232.04,0.49502,0.4873,0.44469,1.01179,0.74374,0.85,0.86801,0.73944,0.74374,0.85,0.86801,0.75148,0.55978,0.47356,1.14847,1.19355,0.00151847,0.00151847,0.00151847
11,251.443,0.46674,0.46097,0.4195,0.99962,0.79112,0.85,0.89151,0.82499,0.79112,0.85,0.89151,0.82557,0.5241,0.58523,0.8214,1.21845,0.00150197,0.00150197,0.00150197
12,270.941,0.45925,0.44915,0.41596,0.99151,0.88611,0.9,0.96301,0.91517,0.88611,0.9,0.96301,0.92526,0.39122,0.38768,0.61267,1.02798,0.00148546,0.00148546,0.00148546
13,290.612,0.44382,0.41818,0.40449,0.98555,0.90325,0.93413,0.93425,0.8249,0.90325,0.93413,0.93425,0.81665,0.51903,0.30665,0.73079,1.19998,0.00146896,0.00146896,0.00146896
14,310.045,0.42646,0.41324,0.38941,0.9838,0.82606,0.85,0.93809,0.85566,0.82606,0.85,0.93469,0.87705,0.46636,0.66173,0.69183,1.10376,0.00145246,0.00145246,0.00145246
15,329.438,0.41102,0.39976,0.36725,0.96643,0.93528,0.85,0.9364,0.86175,0.93528,0.85,0.9364,0.87523,0.43144,0.41895,0.65309,1.04006,0.00143595,0.00143595,0.00143595
16,348.933,0.39089,0.38678,0.35523,0.96228,0.9461,0.95,0.96348,0.92104,0.9461,0.95,0.96348,0.9371,0.31026,0.35488,0.46248,0.89941,0.00141945,0.00141945,0.00141945
17,368.892,0.40075,0.40491,0.3595,0.9617,0.85462,0.9,0.92354,0.84704,0.85462,0.9,0.92354,0.87349,0.47822,0.34929,0.60225,1.10241,0.00140295,0.00140295,0.00140295
18,388.378,0.40554,0.41185,0.36003,0.96497,0.8159,0.85,0.90922,0.8553,0.8159,0.85,0.90922,0.84449,0.37197,0.254,0.74387,1.01817,0.00138644,0.00138644,0.00138644
19,407.925,0.39538,0.37413,0.35511,0.96444,0.89693,1,0.98545,0.88529,0.89693,1,0.98545,0.89373,0.42688,0.27377,0.72479,1.09755,0.00136994,0.00136994,0.00136994
20,427.372,0.39282,0.38443,0.34863,0.95983,0.92947,0.9,0.95457,0.93485,0.92947,0.9,0.95457,0.92954,0.33147,0.25203,0.44301,0.95296,0.00135344,0.00135344,0.00135344
21,447.292,0.39089,0.3621,0.34668,0.95967,0.917,0.95,0.93613,0.91488,0.917,0.95,0.93613,0.91544,0.30837,0.27555,0.66767,0.91115,0.00133693,0.00133693,0.00133693
22,466.842,0.37248,0.3564,0.33459,0.95712,0.94747,0.95,0.95596,0.89711,0.94747,0.95,0.95596,0.87769,0.38147,0.40831,0.51816,1.02649,0.00132043,0.00132043,0.00132043
23,486.481,0.37349,0.35436,0.33635,0.95536,0.94327,0.9,0.96174,0.89301,0.94327,0.9,0.96174,0.91412,0.42735,0.28667,0.42477,1.07077,0.00130393,0.00130393,0.00130393
24,505.862,0.36195,0.34576,0.33074,0.95812,0.89184,0.9,0.93859,0.85255,0.89184,0.9,0.93859,0.87718,0.3523,0.29825,0.6462,0.96124,0.00128742,0.00128742,0.00128742
25,525.592,0.34778,0.32946,0.30711,0.93608,0.8134,0.95,0.96083,0.90707,0.8134,0.95,0.96083,0.90743,0.35552,0.28388,0.67711,0.96598,0.00127092,0.00127092,0.00127092
26,544.988,0.3535,0.33184,0.31281,0.94423,0.87454,0.34872,0.3264,0.29934,0.87454,0.34872,0.3264,0.3106,1.37553,53.0073,3.108,1.84458,0.00125442,0.00125442,0.00125442
27,564.641,0.34448,0.32541,0.29938,0.94038,0.89386,0.95,0.92833,0.84374,0.89386,0.95,0.92833,0.84412,0.4129,0.27356,0.69362,1.02483,0.00123791,0.00123791,0.00123791
28,584.067,0.34701,0.34874,0.30704,0.942,0.90151,0.95,0.926,0.85269,0.90151,0.95,0.926,0.8679,0.38875,0.30716,0.43305,0.96997,0.00122141,0.00122141,0.00122141
29,603.648,0.33354,0.32339,0.30227,0.93154,0.90407,0.94269,0.95039,0.87991,0.90407,0.94269,0.95039,0.89244,0.35327,0.31817,0.47013,0.92753,0.00120491,0.00120491,0.00120491
30,623.089,0.34324,0.32361,0.29775,0.93764,0.94247,0.9,0.95846,0.91335,0.94247,0.9,0.95846,0.92037,0.31883,0.33848,0.46419,0.90474,0.0011884,0.0011884,0.0011884
31,642.647,0.33348,0.32048,0.28589,0.9329,0.94891,1,0.99024,0.94283,0.94891,1,0.99024,0.938,0.2625,0.28743,0.36736,0.86368,0.0011719,0.0011719,0.0011719
32,662.274,0.33846,0.32943,0.29211,0.93764,0.84997,1,0.9714,0.90258,0.83123,0.98547,0.96778,0.90229,0.40008,0.36624,0.52408,1.0541,0.0011554,0.0011554,0.0011554
33,682.012,0.33569,0.3106,0.28749,0.93028,0.93027,0.85,0.90712,0.85144,0.93027,0.85,0.90712,0.85401,0.43034,0.44907,0.62686,1.04213,0.00113889,0.00113889,0.00113889
34,701.454,0.31791,0.29021,0.27744,0.93148,0.94172,0.9,0.9056,0.86948,0.94172,0.9,0.9056,0.87299,0.3624,0.29518,0.47457,0.95433,0.00112239,0.00112239,0.00112239
35,720.933,0.31113,0.30117,0.26824,0.92026,0.85177,0.9,0.90034,0.8648,0.85177,0.9,0.90034,0.86686,0.31462,0.30182,0.5206,0.88775,0.00110589,0.00110589,0.00110589
36,740.496,0.30066,0.29572,0.25723,0.91395,0.94452,0.9,0.94884,0.90573,0.94452,0.9,0.94884,0.92813,0.28091,0.26419,0.3782,0.87772,0.00108938,0.00108938,0.00108938
37,759.939,0.30852,0.27983,0.25834,0.91701,0.94727,0.95,0.9425,0.91232,0.94727,0.95,0.9425,0.92523,0.2807,0.34304,0.3938,0.86159,0.00107288,0.00107288,0.00107288
38,779.435,0.30942,0.28985,0.26472,0.92536,0.88949,0.85,0.86917,0.83553,0.88949,0.85,0.86917,0.83913,0.45022,0.31656,0.52978,1.10281,0.00105638,0.00105638,0.00105638
39,798.941,0.31363,0.27212,0.26519,0.92173,0.94216,0.95,0.98098,0.9459,0.94216,0.95,0.98098,0.95926,0.2732,0.29788,0.35671,0.86468,0.00103987,0.00103987,0.00103987
40,818.554,0.29512,0.27374,0.25552,0.91855,0.9036,0.95,0.96793,0.90385,0.9036,0.95,0.96793,0.91165,0.35204,0.28514,0.45984,0.9332,0.00102337,0.00102337,0.00102337
41,838.41,0.29777,0.29181,0.25167,0.92243,0.9498,0.94611,0.93423,0.91034,0.9498,0.94611,0.93423,0.9062,0.28143,0.36051,0.44316,0.86407,0.00100687,0.00100687,0.00100687
42,857.926,0.29995,0.29546,0.26074,0.91931,0.93946,0.9,0.94234,0.93219,0.93946,0.9,0.94234,0.91685,0.23806,0.31696,0.41763,0.85351,0.000990365,0.000990365,0.000990365
43,877.548,0.29168,0.26686,0.2465,0.9111,0.93681,0.95,0.95833,0.93934,0.93681,0.95,0.95833,0.94294,0.27124,0.30197,0.4167,0.87662,0.000973861,0.000973861,0.000973861
44,897.155,0.29061,0.26681,0.24135,0.91102,0.86224,0.95,0.93545,0.9032,0.86224,0.95,0.93545,0.9119,0.32281,0.35283,0.48473,0.89237,0.000957358,0.000957358,0.000957358
45,916.715,0.2874,0.27259,0.23097,0.91631,0.93229,0.95,0.93826,0.92823,0.93229,0.95,0.93826,0.92273,0.27716,0.3119,0.45758,0.86011,0.000940855,0.000940855,0.000940855
46,936.241,0.28823,0.2739,0.24015,0.91129,0.90191,0.95,0.929,0.91929,0.90191,0.95,0.929,0.89816,0.25605,0.42872,0.42023,0.83923,0.000924352,0.000924352,0.000924352
47,955.796,0.27366,0.24849,0.23145,0.90563,0.90365,0.95,0.95325,0.9283,0.90365,0.95,0.95325,0.92557,0.31499,0.43695,0.38646,0.9292,0.000907848,0.000907848,0.000907848
48,975.683,0.27201,0.24685,0.23464,0.90661,0.94522,0.95,0.95826,0.93908,0.94522,0.95,0.95826,0.92878,0.32895,0.40775,0.41046,0.89677,0.000891345,0.000891345,0.000891345
49,995.143,0.27563,0.26252,0.23146,0.91429,0.94944,0.95,0.94325,0.93848,0.94944,0.95,0.94325,0.9254,0.2349,0.25827,0.39908,0.82638,0.000874842,0.000874842,0.000874842
50,1014.6,0.26769,0.26052,0.22968,0.90431,0.94735,0.95,0.94552,0.93854,0.94735,0.95,0.94552,0.93368,0.24354,0.34286,0.39662,0.84444,0.000858338,0.000858338,0.000858338
51,1034.29,0.26582,0.24294,0.21869,0.89884,0.90247,0.95,0.93474,0.92699,0.90247,0.95,0.93474,0.92665,0.20556,0.26783,0.39765,0.80254,0.000841835,0.000841835,0.000841835
52,1053.74,0.26956,0.24777,0.22193,0.908,0.89499,0.95,0.96445,0.9542,0.89499,0.95,0.96445,0.94178,0.23418,0.26472,0.3659,0.83907,0.000825332,0.000825332,0.000825332
53,1073.21,0.26455,0.24531,0.21739,0.90272,0.93723,0.9,0.9281,0.91122,0.93723,0.9,0.9281,0.88894,0.27586,0.3249,0.472,0.85612,0.000808828,0.000808828,0.000808828
54,1092.96,0.26541,0.2477,0.21891,0.90665,0.9427,0.95,0.9501,0.92319,0.9427,0.95,0.9501,0.93439,0.29048,0.46079,0.44721,0.89362,0.000792325,0.000792325,0.000792325
55,1112.67,0.25834,0.23406,0.21714,0.89825,0.94688,0.95,0.9475,0.93197,0.94688,0.95,0.9475,0.92472,0.24319,0.34076,0.36845,0.83827,0.000775822,0.000775822,0.000775822
56,1132.27,0.26038,0.23177,0.21496,0.90358,0.94415,0.95,0.9678,0.93909,0.94415,0.95,0.9678,0.92991,0.23355,0.34047,0.42767,0.83295,0.000759318,0.000759318,0.000759318
57,1151.97,0.26277,0.25823,0.21233,0.90259,0.9481,0.95,0.93391,0.92909,0.9481,0.95,0.93391,0.91824,0.25407,0.37727,0.42326,0.84438,0.000742815,0.000742815,0.000742815
58,1171.45,0.24934,0.22592,0.20413,0.90153,0.93705,0.95,0.97917,0.96922,0.93705,0.95,0.97917,0.955,0.21698,0.33818,0.31782,0.81452,0.000726312,0.000726312,0.000726312
59,1191.13,0.26036,0.25107,0.20875,0.8998,0.94715,0.95,0.94655,0.93226,0.94715,0.95,0.94655,0.93537,0.25959,0.30098,0.40156,0.86516,0.000709809,0.000709809,0.000709809
60,1210.92,0.25205,0.24653,0.2046,0.89746,0.90183,0.95,0.95392,0.93899,0.90183,0.95,0.95392,0.92687,0.24996,0.35763,0.33619,0.85292,0.000693305,0.000693305,0.000693305
61,1230.44,0.25294,0.23888,0.20325,0.90758,0.90417,0.95,0.96096,0.95229,0.90417,0.95,0.96096,0.93016,0.24146,0.33764,0.38529,0.86041,0.000676802,0.000676802,0.000676802
62,1250.12,0.24266,0.22543,0.20169,0.89841,0.8615,0.95,0.96325,0.90812,0.8615,0.95,0.96325,0.89687,0.31658,0.34507,0.57857,0.90323,0.000660299,0.000660299,0.000660299
63,1269.65,0.25343,0.22862,0.20673,0.90791,0.93763,0.9,0.95822,0.9448,0.93763,0.9,0.95822,0.93331,0.2307,0.40568,0.37729,0.83997,0.000643795,0.000643795,0.000643795
64,1289.3,0.24184,0.23576,0.19496,0.89806,0.90203,0.95,0.93205,0.92808,0.90203,0.95,0.93205,0.90803,0.24739,0.34432,0.47879,0.83559,0.000627292,0.000627292,0.000627292
65,1308.96,0.23427,0.21968,0.19706,0.89297,0.91632,0.95,0.92233,0.91814,0.91632,0.95,0.92233,0.90393,0.21463,0.31165,0.43094,0.8185,0.000610789,0.000610789,0.000610789
66,1328.55,0.23453,0.21678,0.19473,0.89269,0.90399,0.94189,0.91962,0.89251,0.90399,0.94189,0.91962,0.88365,0.28411,0.34341,0.50867,0.85786,0.000594286,0.000594286,0.000594286
67,1348.5,0.2361,0.23303,0.19193,0.89241,0.90244,0.95,0.95823,0.94965,0.90244,0.95,0.95823,0.94096,0.24025,0.36384,0.38461,0.85214,0.000577782,0.000577782,0.000577782
68,1367.89,0.23952,0.2165,0.19458,0.89748,0.91169,0.9,0.93752,0.9327,0.91169,0.9,0.93752,0.91568,0.21891,0.32006,0.46434,0.82435,0.000561279,0.000561279,0.000561279
69,1387.46,0.22916,0.20915,0.18539,0.89406,0.94802,0.95,0.93937,0.92564,0.94802,0.95,0.93937,0.91927,0.23798,0.31546,0.42079,0.82853,0.000544776,0.000544776,0.000544776
70,1407.1,0.22971,0.22176,0.18518,0.8941,0.93148,0.95,0.96846,0.96457,0.93148,0.95,0.96846,0.95219,0.22202,0.31104,0.3362,0.82643,0.000528272,0.000528272,0.000528272
71,1426.76,0.21745,0.20996,0.17408,0.89351,0.90208,0.95,0.96723,0.96271,0.90208,0.95,0.96723,0.94325,0.21365,0.32996,0.37597,0.81436,0.000511769,0.000511769,0.000511769
72,1446.26,0.22177,0.21077,0.17784,0.88852,0.87908,0.95,0.94314,0.92055,0.87908,0.95,0.94314,0.91389,0.23782,0.29961,0.52477,0.83802,0.000495266,0.000495266,0.000495266
73,1465.74,0.21688,0.21302,0.17396,0.88771,0.94966,0.94346,0.94806,0.93709,0.94966,0.94346,0.94806,0.9333,0.24031,0.29551,0.44484,0.84429,0.000478762,0.000478762,0.000478762
74,1485.25,0.2172,0.20113,0.17657,0.8912,0.9472,0.95,0.9464,0.94186,0.9472,0.95,0.9464,0.92946,0.20788,0.27604,0.39916,0.8236,0.000462259,0.000462259,0.000462259
75,1505.09,0.22119,0.21333,0.17776,0.8894,0.90426,0.94472,0.93369,0.92815,0.90426,0.94472,0.93369,0.91008,0.22103,0.32174,0.47357,0.81298,0.000445756,0.000445756,0.000445756
76,1524.45,0.21855,0.20123,0.17325,0.89001,0.90459,0.94822,0.9402,0.9365,0.90459,0.94822,0.9402,0.92438,0.24623,0.36066,0.53141,0.83789,0.000429253,0.000429253,0.000429253
77,1543.98,0.21131,0.19686,0.1706,0.88466,0.92108,0.9,0.94659,0.90461,0.92108,0.9,0.94659,0.88851,0.32935,0.36156,0.56407,0.94967,0.000412749,0.000412749,0.000412749
78,1563.43,0.21302,0.20199,0.17009,0.88482,0.9488,0.95,0.95096,0.93165,0.9488,0.95,0.95096,0.93253,0.25317,0.40006,0.47973,0.88629,0.000396246,0.000396246,0.000396246
79,1583.03,0.21415,0.20009,0.17297,0.89,0.87193,0.95,0.92766,0.87738,0.87193,0.95,0.92766,0.87514,0.34473,0.32676,0.53649,1.03631,0.000379743,0.000379743,0.000379743
80,1602.65,0.21158,0.19149,0.16504,0.88423,0.90441,0.94628,0.94507,0.93722,0.90441,0.94628,0.94507,0.92506,0.22044,0.4309,0.41407,0.80997,0.000363239,0.000363239,0.000363239
81,1622.12,0.21057,0.19885,0.16062,0.88905,0.93234,0.95,0.9578,0.94603,0.93234,0.95,0.9578,0.93596,0.23221,0.35399,0.42481,0.85399,0.000346736,0.000346736,0.000346736
82,1641.49,0.19941,0.19047,0.15885,0.88281,0.92515,0.95,0.945,0.9369,0.92515,0.95,0.945,0.92517,0.22921,0.36979,0.4746,0.83477,0.000330233,0.000330233,0.000330233
83,1661.38,0.20436,0.18879,0.15778,0.89154,0.94818,0.95,0.94589,0.9331,0.94818,0.95,0.94589,0.93138,0.2623,0.41474,0.42556,0.9108,0.000313729,0.000313729,0.000313729
84,1680.92,0.20253,0.17749,0.1611,0.88641,0.94708,0.95,0.93826,0.9227,0.94708,0.95,0.93826,0.91916,0.24192,0.39097,0.45574,0.85545,0.000297226,0.000297226,0.000297226
85,1700.39,0.19837,0.18449,0.15633,0.88593,0.94273,0.95,0.93731,0.93201,0.94273,0.95,0.93731,0.92036,0.19818,0.36441,0.38933,0.80225,0.000280723,0.000280723,0.000280723
86,1719.92,0.202,0.18597,0.16242,0.88457,0.90433,0.94546,0.93445,0.93014,0.90433,0.94546,0.93445,0.91705,0.22895,0.357,0.4409,0.82099,0.00026422,0.00026422,0.00026422
87,1739.48,0.19727,0.18244,0.15517,0.88414,0.9,0.95,0.94398,0.93983,0.9,0.95,0.94398,0.92973,0.24234,0.37808,0.40618,0.8469,0.000247716,0.000247716,0.000247716
88,1758.88,0.18793,0.17198,0.14926,0.87877,0.90254,0.95,0.94034,0.92887,0.90254,0.95,0.94034,0.92563,0.24212,0.33828,0.44575,0.84512,0.000231213,0.000231213,0.000231213
89,1778.31,0.19154,0.17596,0.15228,0.87815,0.8605,0.95,0.937,0.92508,0.8605,0.95,0.937,0.9223,0.23335,0.34997,0.51818,0.82621,0.00021471,0.00021471,0.00021471
90,1797.77,0.19228,0.17638,0.15444,0.88208,0.9132,0.95,0.94536,0.94134,0.9132,0.95,0.94536,0.92994,0.22896,0.38131,0.43326,0.82823,0.000198206,0.000198206,0.000198206
91,1819.45,0.11297,0.11053,0.11463,0.83779,0.8998,0.9,0.94466,0.92958,0.8998,0.9,0.94466,0.93323,0.27349,0.33142,0.52799,0.86284,0.000181703,0.000181703,0.000181703
92,1838.89,0.11262,0.10996,0.10544,0.83555,0.90431,0.94521,0.95713,0.95058,0.90431,0.94521,0.95713,0.94245,0.24972,0.35748,0.43236,0.83871,0.0001652,0.0001652,0.0001652
93,1858.43,0.10548,0.10918,0.10084,0.82858,0.94987,0.94751,0.9603,0.95695,0.94987,0.94751,0.9603,0.9529,0.21204,0.35385,0.34419,0.80167,0.000148696,0.000148696,0.000148696
94,1877.81,0.10828,0.10755,0.09901,0.83413,0.93526,0.95,0.96036,0.95205,0.93526,0.95,0.96036,0.9455,0.23871,0.372,0.42081,0.81968,0.000132193,0.000132193,0.000132193
95,1897.3,0.10238,0.09893,0.10207,0.83268,0.94636,0.95,0.9628,0.95948,0.94636,0.95,0.9628,0.95571,0.22716,0.33956,0.3783,0.81479,0.00011569,0.00011569,0.00011569
96,1916.77,0.09743,0.10154,0.09557,0.82295,0.94206,0.95,0.9628,0.95972,0.94206,0.95,0.9628,0.94899,0.21829,0.36423,0.33897,0.80392,9.91865e-05,9.91865e-05,9.91865e-05
97,1936.17,0.09462,0.10038,0.09121,0.82999,0.90455,0.94783,0.96239,0.95924,0.90455,0.94783,0.96239,0.94808,0.22508,0.36736,0.42105,0.79888,8.26832e-05,8.26832e-05,8.26832e-05
98,1955.44,0.09189,0.10025,0.08716,0.82751,0.9046,0.94834,0.96136,0.95813,0.9046,0.94834,0.96136,0.95296,0.21488,0.37105,0.42822,0.79459,6.61799e-05,6.61799e-05,6.61799e-05
99,1975.36,0.08951,0.09919,0.08542,0.82592,0.94937,0.9381,0.95861,0.95514,0.94937,0.9381,0.95861,0.9386,0.20283,0.39977,0.37396,0.78829,4.96766e-05,4.96766e-05,4.96766e-05
100,1994.63,0.08665,0.09946,0.0831,0.81496,0.94995,0.94903,0.9628,0.95948,0.94995,0.94903,0.9628,0.94361,0.18941,0.39418,0.33993,0.78471,3.31733e-05,3.31733e-05,3.31733e-05
